iter	Passed	Remaining
592	1062	729
593	1064	727
594	1066	725
595	1068	724
596	1070	722
597	1071	720
598	1073	718
599	1075	716
600	1077	715
601	1078	713
602	1080	711
603	1082	709
604	1084	707
605	1086	706
606	1087	704
607	1089	702
608	1091	700
609	1093	698
610	1094	697
611	1096	695
612	1098	693
613	1100	691
614	1101	689
615	1103	688
616	1105	686
617	1106	684
618	1108	682
619	1110	680
620	1111	678
621	1113	676
622	1115	675
623	1117	673
624	1119	671
625	1120	669
626	1122	667
627	1124	665
628	1125	663
629	1127	662
630	1129	660
631	1131	658
632	1133	657
633	1135	655
634	1136	653
635	1138	651
636	1140	649
637	1142	647
638	1143	646
639	1145	644
640	1147	642
641	1148	640
642	1150	638
643	1152	637
644	1154	635
645	1156	633
646	1158	632
647	1160	630
648	1162	628
649	1164	626
650	1166	625
651	1168	623
652	1170	621
653	1171	619
654	1173	618
655	1175	616
656	1177	614
657	1179	612
658	1181	611
659	1182	609
660	1184	607
661	1185	605
662	1187	603
663	1189	602
664	1191	600
665	1193	598
666	1195	596
667	1197	595
668	1200	593
669	1202	592
670	1204	590
671	1206	588
672	1208	587
673	1210	585
674	1212	583
675	1214	581
676	1216	580
677	1218	578
678	1219	576
679	1221	575
680	1223	573
681	1225	571
682	1227	569
683	1229	567
684	1230	565
685	1232	564
686	1233	562
687	1235	560
688	1237	558
689	1239	556
690	1240	554
691	1242	553
692	1244	551
693	1246	549
694	1248	547
695	1249	545
696	1251	543
697	1252	541
698	1254	540
699	1256	538
700	1257	536
701	1259	534
702	1261	532
703	1263	531
704	1264	529
705	1266	527
706	1268	525
707	1269	523
708	1271	521
709	1273	519
710	1274	518
711	1276	516
712	1277	514
713	1279	512
714	1281	510
715	1282	508
716	1284	507
717	1286	505
718	1287	503
719	1289	501
720	1291	499
721	1293	497
722	1295	496
723	1296	494
724	1298	492
725	1300	490
726	1301	488
727	1303	487
728	1305	485
729	1306	483
730	1308	481
731	1310	479
732	1311	477
733	1313	476
734	1315	474
735	1317	472
736	1319	470
737	1321	468
738	1322	467
739	1324	465
740	1326	463
741	1327	461
742	1329	459
743	1331	458
744	1332	456
745	1334	454
746	1335	452
747	1337	450
748	1339	448
749	1341	447
750	1342	445
751	1344	443
752	1346	441
753	1347	439
754	1349	438
755	1351	436
756	1353	434
757	1355	432
758	1356	430
759	1358	429
760	1360	427
761	1362	425
762	1363	423
763	1365	421
764	1367	419
765	1368	418
766	1370	416
767	1372	414
768	1373	412
769	1375	410
770	1377	409
771	1379	407
772	1381	405
773	1382	403
774	1384	401
775	1386	400
776	1387	398
777	1389	396
778	1391	394
779	1392	392
780	1394	390
781	1396	389
782	1397	387
783	1399	385
784	1401	383
785	1403	382
786	1405	380
787	1406	378
788	1408	376
789	1409	374
790	1411	372
791	1413	371
792	1414	369
793	1416	367
794	1417	365
795	1419	363
796	1421	362
797	1423	360
798	1424	358
799	1426	356
800	1428	354
801	1429	352
802	1431	351
803	1433	349
804	1434	347
805	1436	345
806	1438	343
807	1439	342
808	1441	340
809	1443	338
810	1444	336
811	1446	334
812	1448	333
813	1449	331
814	1451	329
815	1453	327
816	1455	325
817	1456	324
818	1458	322
819	1460	320
820	1462	318
821	1463	316
822	1465	315
823	1467	313
824	1468	311
825	1470	309
826	1472	308
827	1474	306
828	1476	304
829	1477	302
830	1479	300
831	1481	299
832	1483	297
833	1484	295
834	1486	293
835	1487	291
836	1489	290
837	1491	288
838	1493	286
839	1497	285
840	1499	283
841	1503	282
842	1505	280
843	1507	278
844	1509	276
845	1511	275
846	1514	273
847	1517	272
848	1520	270
849	1522	268
850	1524	266
851	1526	265
852	1528	263
853	1530	261
854	1532	259
855	1534	258
856	1536	256
857	1538	254
858	1540	252
859	1542	251
860	1544	249
861	1546	247
862	1549	245
863	1551	244
864	1553	242
865	1555	240
866	1557	238
867	1559	237
868	1560	235
869	1562	233
870	1564	231
871	1566	229
872	1567	228
873	1569	226
874	1571	224
875	1572	222
876	1574	220
877	1576	219
878	1578	217
879	1579	215
880	1581	213
881	1583	211
882	1585	210
883	1586	208
884	1588	206
885	1590	204
886	1591	202
887	1593	200
888	1595	199
889	1596	197
890	1598	195
891	1600	193
892	1602	191
893	1604	190
894	1606	188
895	1607	186
896	1609	184
897	1611	183
898	1613	181
899	1615	179
900	1617	177
901	1618	175
902	1620	174
903	1622	172
904	1623	170
905	1625	168
906	1626	166
907	1628	165
908	1630	163
909	1631	161
910	1633	159
911	1635	157
912	1636	155
913	1638	154
914	1640	152
915	1642	150
916	1643	148
917	1645	146
918	1647	145
919	1648	143
920	1650	141
921	1652	139
922	1653	137
923	1655	136
924	1657	134
925	1658	132
926	1660	130
927	1662	128
928	1664	127
929	1665	125
930	1667	123
931	1669	121
932	1670	119
933	1672	118
934	1674	116
935	1676	114
936	1677	112
937	1679	110
938	1681	109
939	1682	107
940	1684	105
941	1686	103
942	1687	102
943	1689	100
944	1691	98
945	1692	96
946	1694	94
947	1695	93
948	1697	91
949	1699	89
950	1701	87
951	1702	85
952	1704	84
953	1706	82
954	1707	80
955	1709	78
956	1711	76
957	1712	75
958	1714	73
959	1716	71
960	1718	69
961	1719	67
962	1721	66
963	1723	64
964	1725	62
965	1726	60
966	1728	58
967	1730	57
968	1731	55
969	1733	53
970	1735	51
971	1737	50
972	1739	48
973	1740	46
974	1742	44
975	1744	42
976	1745	41
977	1747	39
978	1748	37
979	1750	35
980	1752	33
981	1753	32
982	1755	30
983	1757	28
984	1759	26
985	1760	24
986	1762	23
987	1764	21
988	1765	19
989	1767	17
990	1769	16
991	1771	14
992	1772	12
993	1774	10
994	1776	8
995	1777	7
996	1779	5
997	1781	3
998	1782	1
999	1784	0
